tweet_id,label,content,tree_size
656955120626880512,false,correct predictions in back to the future ii URL,532
615689290706595840,true,.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL,366
613404935003217920,false,cops bought the alleged church shooter burger king hours after killings URL,122
731166399389962242,unverified,🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL,148
714598641827246081,unverified,an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom,96
614467824313106432,true,god put a rainbow over the white house 🌈 URL,661
715515982584881152,unverified,craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL,650
693315824132685824,non-rumor,#quasimodo: dog with short spine has big heart URL URL,888
693843042546106369,non-rumor,need to #getcovered? most people can find a health insurance plan for as little as $75/mo: URL URL,357
622891631293935616,false,#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL,195
692630756548591616,non-rumor,japan's economy minister akira amari resigns over corruption allegations URL,430
693265096278163456,non-rumor,german shepherd with a rare spinal condition looking for a forever home. URL URL,308
553589051044151296,true,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,166
553590835850514433,true,"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL",242
622858454949040128,false,in heaven chick-fil-a is open on sundays.,488
656870311057575936,false,the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL,215
616311563071434753,true,apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL,492
641666167992647681,non-rumor,"oh, you invented the pencil? #appleevent URL",324
525060425184858112,true,"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL",359
672513234419638273,false,"""thoughts and prayers are not enough."" pres. obama speaks on mass shootings over the years: URL URL",170
544382892378714113,true,five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL,111
681824512120324096,non-rumor,"when she heard about south korean ""comfort women,"" @yunghi photographed some survivors URL URL",246
620835698514464768,false,translucent butterfly - beautiful! URL,97
626898253900943360,false,everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL,1368
618804516578680832,false,family: @schwarzenegger's last act as governor stole justice from dead son. URL URL,231
672632899921833984,false,why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL,397
553588178687655936,true,reports: #charliehebdo suspects killed URL,210
594687353937100801,false,"the kissing islands, greenland. URL",476
613016993692798977,false,police chief says dylann roof was taken to burger king shortly after arrest URL,137
663385747177775105,false,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",292
766715993385267201,non-rumor,russian olympic officials concerned after learning team’s clean urine reservoir almost empty URL URL,680
693141729529184256,non-rumor,it's 2016. women should earn the same pay as men for doing the same work. URL #equalpay URL,856
524966904885428226,true,breaking update: canadian soldier injured at parliament hill shooting dies URL #ottawa,131
613393657161510913,false,cops bought burger king for dylann roof following his arrest URL URL,211
544374511194632192,true,update: total of 5 people have been able to get out of sydney cafe during hostage situation: URL URL,206
706665777332621314,unverified,".@berniesanders: in 2016, ""we will end institutional racism and reform a broken criminal justice system.” #demdebate",94
693827886021767169,non-rumor,"""our high school graduation rate is at an all-time high."" —@potus URL URL",324
604354747357859842,false,florida couple arrested for selling fake real estate on the moon #wtf15 👉🏿👉 URL URL,105
767709416879644672,non-rumor,"""i hate writing; i love having written."" dorothy parker was born on this day in 1893: URL",690
693146363685642240,non-rumor,"watch one direction's original #xfactoruk auditions from 2010, where it all began URL URL",378
652783670370115585,false,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",389
674187250792558592,false,donald trump v adolf hitler URL,300
726043971911213057,unverified,"target boycott crosses 1 million signers, stock sinks by $1.5 billion URL",193
524935485370929152,true,shooting in canadian parliament comes day after isis-inspired radical drove in2 canadian soldier. also reports of shooting at war memorial/1,115
